id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-09-06T07:17:38;RAM Focused;PAID;CASH_ON_DELIVERY;2020-09-06T15:39:45;64379;Australia 1080p Intranet;1
2;2020-09-06T04:31:54;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-09-06T08:27:35;8068;Baby;2
3;2020-09-06T14:13:42;monitor;CANCELLED;CREDIT_CARD;2020-09-06T06:05:04;97394;Rubber synergy program;3
4;2020-09-06T02:47:44;EXE parse strategic;CANCELLED;PAYPAL;2020-09-06T06:52:54;2286;HTTP;4
5;2020-09-05T23:02:55;black Awesome;PAID;CASH_ON_DELIVERY;2020-09-05T23:04:49;49531;Agent SDD auxiliary;5
6;2020-09-06T09:35:29;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-09-06T01:27:39;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-09-06T12:09:05;back up Toys;ISSUED;PAYPAL;2020-09-06T15:04:44;10756;Arizona Awesome Fresh Soap system;7
8;2020-09-06T08:41:15;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-09-06T08:30:18;50263;deploy;8
9;2020-09-06T02:31:13;Credit Card Account;CANCELLED;CREDIT_CARD;2020-09-06T12:54:22;308;payment Fantastic Fresh Soap;9
10;2020-09-06T12:55:36;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-09-06T16:41:25;94911;Granite Rubber Pizza;10
